<4>[  189.582031] C1 [  adafs_flusher] [adafs] No transaction flushed: l_begin=0, l_head=0, l_end=0
<6>[  190.705017] C0 [             cp] [adafs-stat] on write new: staleness=196608, merged=0, len=48
<6>[  190.705047] C0 [             cp] [adafs-stat] on write new: staleness=200704, merged=0, len=49
<6>[  190.705108] C0 [             cp] [adafs-stat] on write new: staleness=204800, merged=0, len=50
<6>[  190.705139] C0 [             cp] [adafs-stat] on write new: staleness=208896, merged=0, len=51
<6>[  190.705200] C0 [             cp] [adafs-stat] on write new: staleness=212992, merged=0, len=52
<6>[  190.705261] C0 [             cp] [adafs-stat] on write new: staleness=217088, merged=0, len=53
<6>[  190.705291] C0 [             cp] [adafs-stat] on write new: staleness=221184, merged=0, len=54
<6>[  190.705352] C0 [             cp] [adafs-stat] on write new: staleness=225280, merged=0, len=55
<6>[  190.705383] C0 [             cp] [adafs-stat] on write new: staleness=229376, merged=0, len=56
<6>[  190.705444] C0 [             cp] [adafs-stat] on write new: staleness=233472, merged=0, len=57
<6>[  190.705505] C0 [             cp] [adafs-stat] on write new: staleness=237568, merged=0, len=58
<6>[  190.705535] C0 [             cp] [adafs-stat] on write new: staleness=241664, merged=0, len=59
<6>[  190.705596] C0 [             cp] [adafs-stat] on write new: staleness=245760, merged=0, len=60
<6>[  190.705627] C0 [             cp] [adafs-stat] on write new: staleness=249856, merged=0, len=61
<6>[  190.705688] C0 [             cp] [adafs-stat] on write new: staleness=253952, merged=0, len=62
<6>[  190.705718] C0 [             cp] [adafs-stat] on write new: staleness=258048, merged=0, len=63
<6>[  190.705780] C0 [             cp] [adafs-stat] on write new: staleness=262144, merged=0, len=64
<6>[  190.705810] C0 [             cp] [adafs-stat] on write new: staleness=262512, merged=0, len=65
<6>[  190.706054] C0 [             cp] [adafs-stat] on write new: staleness=266608, merged=0, len=66
<6>[  190.706085] C0 [             cp] [adafs-stat] on write new: staleness=270704, merged=0, len=67
<6>[  190.706146] C0 [             cp] [adafs-stat] on write new: staleness=274800, merged=0, len=68
<6>[  190.706207] C0 [             cp] [adafs-stat] on write new: staleness=278896, merged=0, len=69
<6>[  190.706237] C0 [             cp] [adafs-stat] on write new: staleness=282992, merged=0, len=70
<6>[  190.706298] C0 [             cp] [adafs-stat] on write new: staleness=287088, merged=0, len=71
<6>[  190.706359] C0 [             cp] [adafs-stat] on write new: staleness=291184, merged=0, len=72
<6>[  190.706390] C0 [             cp] [adafs-stat] on write new: staleness=295280, merged=0, len=73
<6>[  190.706451] C0 [             cp] [adafs-stat] on write new: staleness=299376, merged=0, len=74
<6>[  190.706481] C0 [             cp] [adafs-stat] on write new: staleness=303472, merged=0, len=75
<6>[  190.706542] C0 [             cp] [adafs-stat] on write new: staleness=307568, merged=0, len=76
<6>[  190.706726] C0 [             cp] [adafs-stat] on write new: staleness=311664, merged=0, len=77
<6>[  190.706787] C0 [             cp] [adafs-stat] on write new: staleness=315760, merged=0, len=78
<6>[  190.706848] C0 [             cp] [adafs-stat] on write new: staleness=319856, merged=0, len=79
<6>[  190.706878] C0 [             cp] [adafs-stat] on write new: staleness=323952, merged=0, len=80
<6>[  190.706939] C0 [             cp] [adafs-stat] on write new: staleness=328048, merged=0, len=81
<6>[  190.706970] C0 [             cp] [adafs-stat] on write new: staleness=332144, merged=0, len=82
<6>[  190.707031] C0 [             cp] [adafs-stat] on write new: staleness=336240, merged=0, len=83
<6>[  190.707092] C0 [             cp] [adafs-stat] on write new: staleness=340336, merged=0, len=84
<6>[  190.707122] C0 [             cp] [adafs-stat] on write new: staleness=344432, merged=0, len=85
<6>[  190.707183] C0 [             cp] [adafs-stat] on write new: staleness=348528, merged=0, len=86
<6>[  190.707244] C0 [             cp] [adafs-stat] on write new: staleness=352624, merged=0, len=87
<6>[  190.707305] C0 [             cp] [adafs-stat] on write new: staleness=356720, merged=0, len=88
<6>[  190.707336] C0 [             cp] [adafs-stat] on write new: staleness=360816, merged=0, len=89
<6>[  190.707397] C0 [             cp] [adafs-stat] on write new: staleness=364912, merged=0, len=90
<6>[  190.707427] C0 [             cp] [adafs-stat] on write new: staleness=369008, merged=0, len=91
<6>[  190.707489] C0 [             cp] [adafs-stat] on write new: staleness=373104, merged=0, len=92
<6>[  190.707519] C0 [             cp] [adafs-stat] on write new: staleness=377200, merged=0, len=93
<6>[  190.707580] C0 [             cp] [adafs-stat] on write new: staleness=381296, merged=0, len=94
<6>[  190.707641] C0 [             cp] [adafs-stat] on write new: staleness=385392, merged=0, len=95
<6>[  190.707672] C0 [             cp] [adafs-stat] on write new: staleness=389488, merged=0, len=96
<6>[  190.707733] C0 [             cp] [adafs-stat] on write new: staleness=393584, merged=0, len=97
<6>[  190.707794] C0 [             cp] [adafs-stat] on write new: staleness=397680, merged=0, len=98
<6>[  190.707855] C0 [             cp] [adafs-stat] on write new: staleness=401776, merged=0, len=99
<6>[  190.707885] C0 [             cp] [adafs-stat] on write new: staleness=405872, merged=0, len=100
<6>[  190.707946] C0 [             cp] [adafs-stat] on write new: staleness=409968, merged=0, len=101
<6>[  190.707977] C0 [             cp] [adafs-stat] on write new: staleness=414064, merged=0, len=102
<6>[  190.708038] C0 [             cp] [adafs-stat] on write new: staleness=418160, merged=0, len=103
<6>[  190.708068] C0 [             cp] [adafs-stat] on write new: staleness=422256, merged=0, len=104
<6>[  190.708129] C0 [             cp] [adafs-stat] on write new: staleness=426352, merged=0, len=105
<6>[  190.708160] C0 [             cp] [adafs-stat] on write new: staleness=430448, merged=0, len=106
<6>[  190.708221] C0 [             cp] [adafs-stat] on write new: staleness=434544, merged=0, len=107
<6>[  190.708282] C0 [             cp] [adafs-stat] on write new: staleness=438640, merged=0, len=108
<6>[  190.708312] C0 [             cp] [adafs-stat] on write new: staleness=442736, merged=0, len=109
<6>[  190.708374] C0 [             cp] [adafs-stat] on write new: staleness=446832, merged=0, len=110
<6>[  190.708435] C0 [             cp] [adafs-stat] on write new: staleness=450928, merged=0, len=111
<6>[  190.708496] C0 [             cp] [adafs-stat] on write new: staleness=455024, merged=0, len=112
<6>[  190.708526] C0 [             cp] [adafs-stat] on write new: staleness=459120, merged=0, len=113
<6>[  190.708587] C0 [             cp] [adafs-stat] on write new: staleness=463216, merged=0, len=114
<6>[  190.708618] C0 [             cp] [adafs-stat] on write new: staleness=467312, merged=0, len=115
<6>[  190.708679] C0 [             cp] [adafs-stat] on write new: staleness=471408, merged=0, len=116
<6>[  190.708709] C0 [             cp] [adafs-stat] on write new: staleness=475504, merged=0, len=117
<6>[  190.708770] C0 [             cp] [adafs-stat] on write new: staleness=479600, merged=0, len=118
<6>[  190.708831] C0 [             cp] [adafs-stat] on write new: staleness=483696, merged=0, len=119
<6>[  190.708862] C0 [             cp] [adafs-stat] on write new: staleness=487792, merged=0, len=120
<6>[  190.708892] C0 [             cp] [adafs-stat] on write new: staleness=491888, merged=0, len=121
<6>[  190.708953] C0 [             cp] [adafs-stat] on write new: staleness=495984, merged=0, len=122
<6>[  190.709014] C0 [             cp] [adafs-stat] on write new: staleness=500080, merged=0, len=123
<6>[  190.709045] C0 [             cp] [adafs-stat] on write new: staleness=504176, merged=0, len=124
<6>[  190.709106] C0 [             cp] [adafs-stat] on write new: staleness=508272, merged=0, len=125
<6>[  190.709136] C0 [             cp] [adafs-stat] on write new: staleness=512368, merged=0, len=126
<6>[  190.709197] C0 [             cp] [adafs-stat] on write new: staleness=516464, merged=0, len=127
<6>[  190.709259] C0 [             cp] [adafs-stat] on write new: staleness=520560, merged=0, len=128
<6>[  190.709320] C0 [             cp] [adafs-stat] on write new: staleness=524656, merged=0, len=129
<6>[  190.709350] C0 [             cp] [adafs-stat] on write new: staleness=528752, merged=0, len=130
<6>[  190.711181] C0 [             cp] [adafs-stat] on write new: staleness=532848, merged=0, len=131
<6>[  190.711364] C0 [             cp] [adafs-stat] on write new: staleness=536944, merged=0, len=132
<6>[  190.711486] C0 [             cp] [adafs-stat] on write new: staleness=541040, merged=0, len=133
<6>[  190.711608] C0 [             cp] [adafs-stat] on write new: staleness=545136, merged=0, len=134
<6>[  190.711730] C0 [             cp] [adafs-stat] on write new: staleness=549232, merged=0, len=135
<6>[  190.711822] C0 [             cp] [adafs-stat] on write new: staleness=553328, merged=0, len=136
<6>[  190.711944] C0 [             cp] [adafs-stat] on write new: staleness=557424, merged=0, len=137
<6>[  190.712066] C0 [             cp] [adafs-stat] on write new: staleness=561520, merged=0, len=138
<6>[  190.712188] C0 [             cp] [adafs-stat] on write new: staleness=565616, merged=0, len=139
<6>[  190.712310] C0 [             cp] [adafs-stat] on write new: staleness=569712, merged=0, len=140
<6>[  190.712432] C0 [             cp] [adafs-stat] on write new: staleness=573808, merged=0, len=141
<6>[  190.712554] C0 [             cp] [adafs-stat] on write new: staleness=577904, merged=0, len=142
<6>[  190.713165] C0 [             cp] [adafs-stat] on write new: staleness=582000, merged=0, len=143
<6>[  190.713287] C0 [             cp] [adafs-stat] on write new: staleness=586096, merged=0, len=144
<6>[  190.713409] C0 [             cp] [adafs-stat] on write new: staleness=590192, merged=0, len=145
<6>[  190.713684] C0 [             cp] [adafs-stat] on write new: staleness=594288, merged=0, len=146
<6>[  190.713806] C0 [             cp] [adafs-stat] on write new: staleness=598384, merged=0, len=147
<6>[  190.713928] C0 [             cp] [adafs-stat] on write new: staleness=602480, merged=0, len=148
<6>[  190.714416] C0 [             cp] [adafs-stat] on write new: staleness=606576, merged=0, len=149
<6>[  190.714599] C0 [             cp] [adafs-stat] on write new: staleness=610672, merged=0, len=150
<6>[  190.714721] C0 [             cp] [adafs-stat] on write new: staleness=614768, merged=0, len=151
<6>[  190.714843] C0 [             cp] [adafs-stat] on write new: staleness=618864, merged=0, len=152
<6>[  190.714965] C0 [             cp] [adafs-stat] on write new: staleness=622960, merged=0, len=153
<6>[  190.715057] C0 [             cp] [adafs-stat] on write new: staleness=627056, merged=0, len=154
<6>[  190.715179] C0 [             cp] [adafs-stat] on write new: staleness=631152, merged=0, len=155
<6>[  190.715301] C0 [             cp] [adafs-stat] on write new: staleness=635248, merged=0, len=156
<6>[  190.715423] C0 [             cp] [adafs-stat] on write new: staleness=639344, merged=0, len=157
<6>[  190.715576] C0 [             cp] [adafs-stat] on write new: staleness=643440, merged=0, len=158
<6>[  190.715728] C0 [             cp] [adafs-stat] on write new: staleness=647536, merged=0, len=159
<6>[  190.715820] C0 [             cp] [adafs-stat] on write new: staleness=651632, merged=0, len=160
<6>[  190.715942] C0 [             cp] [adafs-stat] on write new: staleness=655728, merged=0, len=161
<6>[  190.716064] C0 [             cp] [adafs-stat] on write new: staleness=659824, merged=0, len=162
<6>[  190.716278] C0 [             cp] [adafs-stat] on write new: staleness=663920, merged=0, len=163
<6>[  190.716400] C0 [             cp] [adafs-stat] on write new: staleness=668016, merged=0, len=164
<6>[  190.717498] C0 [             cp] [adafs-stat] on write new: staleness=672112, merged=0, len=165
<6>[  190.717651] C0 [             cp] [adafs-stat] on write new: staleness=676208, merged=0, len=166
<6>[  190.717773] C0 [             cp] [adafs-stat] on write new: staleness=680304, merged=0, len=167
<6>[  190.717895] C0 [             cp] [adafs-stat] on write new: staleness=684400, merged=0, len=168
<6>[  190.718017] C0 [             cp] [adafs-stat] on write new: staleness=688496, merged=0, len=169
<6>[  190.718109] C0 [             cp] [adafs-stat] on write new: staleness=692592, merged=0, len=170
<6>[  190.718261] C0 [             cp] [adafs-stat] on write new: staleness=696688, merged=0, len=171
<6>[  190.718353] C0 [             cp] [adafs-stat] on write new: staleness=700784, merged=0, len=172
<6>[  190.718505] C0 [             cp] [adafs-stat] on write new: staleness=704880, merged=0, len=173
<6>[  190.718627] C0 [             cp] [adafs-stat] on write new: staleness=708976, merged=0, len=174
<6>[  190.718719] C0 [             cp] [adafs-stat] on write new: staleness=713072, merged=0, len=175
<6>[  190.718841] C0 [             cp] [adafs-stat] on write new: staleness=717168, merged=0, len=176
<6>[  190.718963] C0 [             cp] [adafs-stat] on write new: staleness=721264, merged=0, len=177
<6>[  190.719055] C0 [             cp] [adafs-stat] on write new: staleness=725360, merged=0, len=178
<6>[  190.719177] C0 [             cp] [adafs-stat] on write new: staleness=729456, merged=0, len=179
<6>[  190.719299] C0 [             cp] [adafs-stat] on write new: staleness=733552, merged=0, len=180
<6>[  190.719421] C0 [             cp] [adafs-stat] on write new: staleness=737648, merged=0, len=181
<6>[  190.719512] C0 [             cp] [adafs-stat] on write new: staleness=741744, merged=0, len=182
<6>[  190.719635] C0 [             cp] [adafs-stat] on write new: staleness=745840, merged=0, len=183
<6>[  190.719757] C0 [             cp] [adafs-stat] on write new: staleness=749936, merged=0, len=184
<6>[  190.719879] C0 [             cp] [adafs-stat] on write new: staleness=754032, merged=0, len=185
<6>[  190.720001] C0 [             cp] [adafs-stat] on write new: staleness=758128, merged=0, len=186
<6>[  190.720123] C0 [             cp] [adafs-stat] on write new: staleness=762224, merged=0, len=187
<6>[  190.720245] C0 [             cp] [adafs-stat] on write new: staleness=766320, merged=0, len=188
<6>[  190.720397] C0 [             cp] [adafs-stat] on write new: staleness=770416, merged=0, len=189
<6>[  190.720520] C0 [             cp] [adafs-stat] on write new: staleness=774512, merged=0, len=190
<6>[  190.720672] C0 [             cp] [adafs-stat] on write new: staleness=778608, merged=0, len=191
<6>[  190.720764] C0 [             cp] [adafs-stat] on write new: staleness=782704, merged=0, len=192
<6>[  190.720886] C0 [             cp] [adafs-stat] on write new: staleness=786800, merged=0, len=193
<6>[  190.721008] C0 [             cp] [adafs-stat] on write new: staleness=790896, merged=0, len=194
<6>[  190.721130] C0 [             cp] [adafs-stat] on write new: staleness=794992, merged=0, len=195
<6>[  190.721252] C0 [             cp] [adafs-stat] on write new: staleness=799088, merged=0, len=196
<6>[  190.721374] C0 [             cp] [adafs-stat] on write new: staleness=803184, merged=0, len=197
<6>[  190.721496] C0 [             cp] [adafs-stat] on write new: staleness=807280, merged=0, len=198
<6>[  190.721618] C0 [             cp] [adafs-stat] on write new: staleness=811376, merged=0, len=199
<6>[  190.721710] C0 [             cp] [adafs-stat] on write new: staleness=815472, merged=0, len=200
<6>[  190.721862] C0 [             cp] [adafs-stat] on write new: staleness=819568, merged=0, len=201
<6>[  190.721954] C0 [             cp] [adafs-stat] on write new: staleness=823664, merged=0, len=202
<6>[  190.722076] C0 [             cp] [adafs-stat] on write new: staleness=827760, merged=0, len=203
<6>[  190.722198] C0 [             cp] [adafs-stat] on write new: staleness=831856, merged=0, len=204
<6>[  190.722320] C0 [             cp] [adafs-stat] on write new: staleness=835952, merged=0, len=205
<6>[  190.722442] C0 [             cp] [adafs-stat] on write new: staleness=840048, merged=0, len=206
<6>[  190.722534] C0 [             cp] [adafs-stat] on write new: staleness=844144, merged=0, len=207
<6>[  190.722656] C0 [             cp] [adafs-stat] on write new: staleness=848240, merged=0, len=208
<6>[  190.722778] C0 [             cp] [adafs-stat] on write new: staleness=852336, merged=0, len=209
<6>[  190.722900] C0 [             cp] [adafs-stat] on write new: staleness=856432, merged=0, len=210
<6>[  190.723022] C0 [             cp] [adafs-stat] on write new: staleness=860528, merged=0, len=211
<6>[  190.723114] C0 [             cp] [adafs-stat] on write new: staleness=864624, merged=0, len=212
<6>[  190.723266] C0 [             cp] [adafs-stat] on write new: staleness=868720, merged=0, len=213
<6>[  190.723419] C0 [             cp] [adafs-stat] on write new: staleness=872816, merged=0, len=214
<6>[  190.723541] C0 [             cp] [adafs-stat] on write new: staleness=876912, merged=0, len=215
<6>[  190.723663] C0 [             cp] [adafs-stat] on write new: staleness=881008, merged=0, len=216
<6>[  190.723785] C0 [             cp] [adafs-stat] on write new: staleness=885104, merged=0, len=217
<6>[  190.723907] C0 [             cp] [adafs-stat] on write new: staleness=889200, merged=0, len=218
<6>[  190.724029] C0 [             cp] [adafs-stat] on write new: staleness=893296, merged=0, len=219
<6>[  190.724151] C0 [             cp] [adafs-stat] on write new: staleness=897392, merged=0, len=220
<6>[  190.724273] C0 [             cp] [adafs-stat] on write new: staleness=901488, merged=0, len=221
<6>[  190.724395] C0 [             cp] [adafs-stat] on write new: staleness=905584, merged=0, len=222
<6>[  190.724517] C0 [             cp] [adafs-stat] on write new: staleness=909680, merged=0, len=223
<6>[  190.724609] C0 [             cp] [adafs-stat] on write new: staleness=913776, merged=0, len=224
<6>[  190.724731] C0 [             cp] [adafs-stat] on write new: staleness=917872, merged=0, len=225
<6>[  190.724853] C0 [             cp] [adafs-stat] on write new: staleness=921968, merged=0, len=226
<6>[  190.724975] C0 [             cp] [adafs-stat] on write new: staleness=926064, merged=0, len=227
<6>[  190.725280] C0 [             cp] [adafs-stat] on write new: staleness=930160, merged=0, len=228
<6>[  190.725433] C0 [             cp] [adafs-stat] on write new: staleness=934256, merged=0, len=229
<6>[  190.725555] C0 [             cp] [adafs-stat] on write new: staleness=938352, merged=0, len=230
<6>[  190.725646] C0 [             cp] [adafs-stat] on write new: staleness=942448, merged=0, len=231
<6>[  190.725769] C0 [             cp] [adafs-stat] on write new: staleness=946544, merged=0, len=232
<6>[  190.725891] C0 [             cp] [adafs-stat] on write new: staleness=950640, merged=0, len=233
<6>[  190.725982] C0 [             cp] [adafs-stat] on write new: staleness=954736, merged=0, len=234
<6>[  190.726104] C0 [             cp] [adafs-stat] on write new: staleness=958832, merged=0, len=235
<6>[  190.726196] C0 [             cp] [adafs-stat] on write new: staleness=962928, merged=0, len=236
<6>[  190.726318] C0 [             cp] [adafs-stat] on write new: staleness=967024, merged=0, len=237
<6>[  190.726348] C0 [             cp] [adafs-stat] on write new: staleness=971120, merged=0, len=238
<6>[  190.726409] C0 [             cp] [adafs-stat] on write new: staleness=975216, merged=0, len=239
<6>[  190.726440] C0 [             cp] [adafs-stat] on write new: staleness=979312, merged=0, len=240
<6>[  190.726501] C0 [             cp] [adafs-stat] on write new: staleness=983408, merged=0, len=241
<6>[  190.726562] C0 [             cp] [adafs-stat] on write new: staleness=987504, merged=0, len=242
<6>[  190.726593] C0 [             cp] [adafs-stat] on write new: staleness=991600, merged=0, len=243
<6>[  190.726654] C0 [             cp] [adafs-stat] on write new: staleness=995696, merged=0, len=244
<6>[  190.726684] C0 [             cp] [adafs-stat] on write new: staleness=999792, merged=0, len=245
<6>[  190.726745] C0 [             cp] [adafs-stat] on write new: staleness=1003888, merged=0, len=246
<6>[  190.726806] C0 [             cp] [adafs-stat] on write new: staleness=1007984, merged=0, len=247
<6>[  190.726837] C0 [             cp] [adafs-stat] on write new: staleness=1012080, merged=0, len=248
<6>[  190.726898] C0 [             cp] [adafs-stat] on write new: staleness=1016176, merged=0, len=249
<6>[  190.726928] C0 [             cp] [adafs-stat] on write new: staleness=1020272, merged=0, len=250
<6>[  190.726989] C0 [             cp] [adafs-stat] on write new: staleness=1024368, merged=0, len=251
<6>[  190.727111] C0 [             cp] [adafs-stat] on write new: staleness=1028464, merged=0, len=252
<6>[  190.727172] C0 [             cp] [adafs-stat] on write new: staleness=1032560, merged=0, len=253
<6>[  190.727233] C0 [             cp] [adafs-stat] on write new: staleness=1036656, merged=0, len=254
<6>[  190.727264] C0 [             cp] [adafs-stat] on write new: staleness=1040752, merged=0, len=255
<6>[  190.727325] C0 [             cp] [adafs-stat] on write new: staleness=1044848, merged=0, len=256
<6>[  190.727386] C0 [             cp] [adafs-stat] on write new: staleness=1048944, merged=0, len=257
<6>[  190.727416] C0 [             cp] [adafs-stat] on write new: staleness=1053040, merged=0, len=258
<6>[  190.727478] C0 [             cp] [adafs-stat] on write new: staleness=1057136, merged=0, len=259
<6>[  190.727508] C0 [             cp] [adafs-stat] on write new: staleness=1061232, merged=0, len=260
<6>[  190.727569] C0 [             cp] [adafs-stat] on write new: staleness=1065328, merged=0, len=261
<6>[  190.727600] C0 [             cp] [adafs-stat] on write new: staleness=1069424, merged=0, len=262
<6>[  190.727661] C0 [             cp] [adafs-stat] on write new: staleness=1073520, merged=0, len=263
<6>[  190.727722] C0 [             cp] [adafs-stat] on write new: staleness=1077616, merged=0, len=264
<6>[  190.727783] C0 [             cp] [adafs-stat] on write new: staleness=1081712, merged=0, len=265
<6>[  190.727813] C0 [             cp] [adafs-stat] on write new: staleness=1085808, merged=0, len=266
<6>[  190.727874] C0 [             cp] [adafs-stat] on write new: staleness=1089904, merged=0, len=267
<6>[  190.727935] C0 [             cp] [adafs-stat] on write new: staleness=1094000, merged=0, len=268
<6>[  190.727966] C0 [             cp] [adafs-stat] on write new: staleness=1098096, merged=0, len=269
<6>[  190.728027] C0 [             cp] [adafs-stat] on write new: staleness=1102192, merged=0, len=270
<6>[  190.728088] C0 [             cp] [adafs-stat] on write new: staleness=1106288, merged=0, len=271
<6>[  190.728149] C0 [             cp] [adafs-stat] on write new: staleness=1110384, merged=0, len=272
<6>[  190.728179] C0 [             cp] [adafs-stat] on write new: staleness=1114480, merged=0, len=273
<6>[  190.728240] C0 [             cp] [adafs-stat] on write new: staleness=1118576, merged=0, len=274
<6>[  190.728302] C0 [             cp] [adafs-stat] on write new: staleness=1122672, merged=0, len=275
<6>[  190.728393] C0 [             cp] [adafs-stat] on write new: staleness=1126768, merged=0, len=276
<6>[  190.728424] C0 [             cp] [adafs-stat] on write new: staleness=1130864, merged=0, len=277
<6>[  190.728485] C0 [             cp] [adafs-stat] on write new: staleness=1134960, merged=0, len=278
<6>[  190.728546] C0 [             cp] [adafs-stat] on write new: staleness=1139056, merged=0, len=279
<6>[  190.728576] C0 [             cp] [adafs-stat] on write new: staleness=1143152, merged=0, len=280
<6>[  190.728637] C0 [             cp] [adafs-stat] on write new: staleness=1147248, merged=0, len=281
<6>[  190.728698] C0 [             cp] [adafs-stat] on write new: staleness=1151344, merged=0, len=282
<6>[  190.728759] C0 [             cp] [adafs-stat] on write new: staleness=1155440, merged=0, len=283
<6>[  190.728820] C0 [             cp] [adafs-stat] on write new: staleness=1159536, merged=0, len=284
<6>[  190.728881] C0 [             cp] [adafs-stat] on write new: staleness=1163632, merged=0, len=285
<6>[  190.728912] C0 [             cp] [adafs-stat] on write new: staleness=1167728, merged=0, len=286
<6>[  190.728973] C0 [             cp] [adafs-stat] on write new: staleness=1171824, merged=0, len=287
<6>[  190.729003] C0 [             cp] [adafs-stat] on write new: staleness=1175920, merged=0, len=288
<6>[  190.729064] C0 [             cp] [adafs-stat] on write new: staleness=1180016, merged=0, len=289
<6>[  190.729125] C0 [             cp] [adafs-stat] on write new: staleness=1184112, merged=0, len=290
<6>[  190.729156] C0 [             cp] [adafs-stat] on write new: staleness=1188208, merged=0, len=291
<6>[  190.729217] C0 [             cp] [adafs-stat] on write new: staleness=1192304, merged=0, len=292
<6>[  190.729248] C0 [             cp] [adafs-stat] on write new: staleness=1196400, merged=0, len=293
<6>[  190.729309] C0 [             cp] [adafs-stat] on write new: staleness=1200496, merged=0, len=294
<6>[  190.729370] C0 [             cp] [adafs-stat] on write new: staleness=1204592, merged=0, len=295
<6>[  190.729400] C0 [             cp] [adafs-stat] on write new: staleness=1208688, merged=0, len=296
<6>[  190.729461] C0 [             cp] [adafs-stat] on write new: staleness=1212784, merged=0, len=297
<6>[  190.729522] C0 [             cp] [adafs-stat] on write new: staleness=1216880, merged=0, len=298
<6>[  190.729553] C0 [             cp] [adafs-stat] on write new: staleness=1220976, merged=0, len=299
<6>[  190.729614] C0 [             cp] [adafs-stat] on write new: staleness=1225072, merged=0, len=300
<6>[  190.729644] C0 [             cp] [adafs-stat] on write new: staleness=1229168, merged=0, len=301
<6>[  190.729705] C0 [             cp] [adafs-stat] on write new: staleness=1233264, merged=0, len=302
<6>[  190.729766] C0 [             cp] [adafs-stat] on write new: staleness=1237360, merged=0, len=303
<6>[  190.729797] C0 [             cp] [adafs-stat] on write new: staleness=1241456, merged=0, len=304
<6>[  190.729827] C0 [             cp] [adafs-stat] on write new: staleness=1245552, merged=0, len=305
<6>[  190.729888] C0 [             cp] [adafs-stat] on write new: staleness=1249648, merged=0, len=306
<6>[  190.729949] C0 [             cp] [adafs-stat] on write new: staleness=1253744, merged=0, len=307
